age,season,transfer_no,apearance,goal,assist,yellow,yellow2,red,foot,height,position,mv
15,12,2,14,0,0,1,0,0,right,188,Midfielder - Central Midfield,315000
20,18,5,9,1,0,2,0,0,right,185,Midfielder - Defensive Midfield,180000
19,17,4,24,4,2,5,0,0,right,185,Midfielder - Defensive Midfield,180000
17,15,3,17,0,1,4,0,0,right,185,Midfielder - Defensive Midfield,180000
16,14,2,21,3,0,1,0,0,right,185,Midfielder - Defensive Midfield,180000
23,20,7,7,1,0,0,0,0,left,192,Defender - Centre-Back,6120000
22,19,6,27,0,0,3,0,0,left,192,Defender - Centre-Back,3150000
20,17,5,24,3,0,2,1,0,left,192,Defender - Centre-Back,720000
19,16,4,25,1,0,4,0,0,left,192,Defender - Centre-Back,720000
17,14,3,23,0,0,2,0,0,left,192,Defender - Centre-Back,720000
16,13,2,16,4,0,3,0,0,left,192,Defender - Centre-Back,720000
29,19,12,34,13,8,1,0,0,left,187,Forward - Centre-Forward,3150000
27,17,11,14,2,2,1,0,0,left,187,Forward - Centre-Forward,4950000
26,16,10,36,12,3,4,0,0,left,187,Forward - Centre-Forward,1800000
25,15,9,28,8,2,6,0,0,left,187,Forward - Centre-Forward,1800000
23,13,8,32,9,4,4,0,0,left,187,Forward - Centre-Forward,360000
21,11,7,38,9,9,4,0,0,left,187,Forward - Centre-Forward,45000
20,10,6,34,19,0,8,0,0,left,187,Forward - Centre-Forward,45000
21,18,3,9,0,1,0,0,0,right,183,Midfielder - Attacking Midfield,1800000
19,16,2,30,5,5,0,0,0,right,183,Midfielder - Attacking Midfield,90000
17,14,1,11,0,0,0,0,1,right,183,Midfielder - Attacking Midfield,1800000
29,20,10,5,0,0,1,0,0,right,183,Midfielder - Right Midfield,495000
27,18,9,7,0,1,0,0,0,right,183,Midfielder - Right Midfield,540000
25,16,8,19,0,1,1,0,0,right,183,Midfielder - Right Midfield,675000
23,14,7,32,3,1,6,0,0,right,183,Midfielder - Right Midfield,720000
20,11,6,31,3,5,1,0,0,right,183,Midfielder - Right Midfield,270000
18,9,5,13,0,3,1,0,0,right,183,Midfielder - Right Midfield,68000
20,18,4,150,0,0,36,0,0,right,182,Midfielder - Central Midfield,5400000
19,17,3,150,0,0,0,0,0,right,182,Midfielder - Central Midfield,2700000
18,16,2,294,18,24,48,0,0,right,182,Midfielder - Central Midfield,405000
23,12,6,23,1,3,4,0,0,right,180,Midfielder - Central Midfield,2277777.778
22,11,5,17,0,1,1,0,0,right,180,Midfielder - Central Midfield,3150000
21,10,4,33,5,2,6,0,0,right,180,Midfielder - Central Midfield,1800000
20,9,3,7,2,0,1,0,0,right,180,Midfielder - Central Midfield,450000
25,16,6,19,2,1,4,0,0,right,187,Defender - Centre-Back,2700000
22,13,5,55,3,0,8,0,0,right,187,Defender - Centre-Back,2250000
20,11,4,35,4,5,1,0,0,right,187,Defender - Centre-Back,270000
19,10,3,6,0,0,1,0,0,right,187,Defender - Centre-Back,270000
29,18,10,9,1,0,1,0,0,left,186,Forward - Centre-Forward,900000
25,14,9,18,8,2,1,0,0,left,186,Forward - Centre-Forward,2250000
23,12,8,37,5,2,3,1,0,left,186,Forward - Centre-Forward,7200000
22,11,7,20,3,0,1,0,0,left,186,Forward - Centre-Forward,5850000
21,10,6,33,10,9,5,0,0,left,186,Forward - Centre-Forward,1800000
20,9,5,34,8,2,2,0,0,left,186,Forward - Centre-Forward,90000
19,8,4,31,9,2,1,0,0,left,186,Forward - Centre-Forward,45000
17,6,3,12,4,0,0,0,0,left,186,Forward - Centre-Forward,45000
19,17,5,27,2,2,4,1,1,left,183,Defender - Left-Back,113000
18,16,4,32,7,3,5,1,0,left,183,Defender - Left-Back,113000
17,15,3,25,2,5,5,0,0,left,183,Defender - Left-Back,113000
16,14,2,24,1,0,1,0,0,left,183,Defender - Left-Back,113000
19,17,6,26,10,1,4,0,0,right,176,Forward - Right Winger,68000
18,16,5,27,24,4,3,0,0,right,176,Forward - Right Winger,68000
16,14,4,26,8,0,6,0,0,right,176,Forward - Right Winger,68000
15,13,3,24,10,1,4,0,0,right,176,Forward - Right Winger,68000
14,12,2,1,0,0,0,0,0,right,176,Forward - Right Winger,68000
31,19,5,8,0,0,2,0,0,right,183,Defender - Centre-Back,2030000
26,14,4,41,2,0,11,0,0,right,183,Defender - Centre-Back,3400000
22,10,3,46,3,0,17,0,0,right,183,Defender - Centre-Back,2250000
17,5,2,31,0,0,6,0,1,right,183,Defender - Centre-Back,2250000
16,4,1,3,0,0,1,0,0,right,183,Defender - Centre-Back,2250000
23,19,5,10,1,0,1,0,0,right,183,Forward - Right Winger,1130000
20,16,4,15,1,7,2,0,0,right,183,Forward - Right Winger,68000
19,15,3,20,6,8,2,0,0,right,183,Forward - Right Winger,68000
17,13,2,23,4,3,0,0,0,right,183,Forward - Right Winger,68000
27,20,8,10,1,6,1,0,0,left,177,Defender - Left-Back,13500000
22,15,7,32,0,0,3,0,0,left,177,Defender - Left-Back,810000
21,14,6,26,0,1,4,0,0,left,177,Defender - Left-Back,135000
19,12,5,32,2,8,1,0,0,left,177,Defender - Left-Back,135000
17,10,4,21,4,2,0,0,0,left,177,Defender - Left-Back,135000
23,17,6,31,1,1,9,0,0,right,188,Midfielder - Defensive Midfield,675000
20,14,5,25,0,2,9,0,0,right,188,Midfielder - Defensive Midfield,675000
18,12,4,32,0,0,5,0,0,right,188,Midfielder - Defensive Midfield,270000
17,11,3,28,1,1,3,0,0,right,188,Midfielder - Defensive Midfield,270000
15,9,2,21,2,0,3,0,0,right,188,Midfielder - Defensive Midfield,270000
20,15,4,15,0,1,4,0,0,right,179,Defender - Right-Back,90000
17,12,3,16,0,2,3,2,0,right,179,Defender - Right-Back,90000
15,10,2,21,0,1,6,0,0,right,179,Defender - Right-Back,90000
20,19,7,12,0,0,0,0,0,right,190,Midfielder - Defensive Midfield,4800000
19,18,6,24,3,2,5,0,1,right,190,Midfielder - Defensive Midfield,4500000
19,17,5,11,0,0,1,0,0,right,190,Midfielder - Defensive Midfield,4500000
18,17,4,11,0,0,1,0,0,right,190,Midfielder - Defensive Midfield,3700000
16,15,3,23,1,1,1,0,0,right,190,Midfielder - Defensive Midfield,3600000
15,14,2,13,1,0,1,0,0,right,190,Midfielder - Defensive Midfield,3600000
21,19,4,33,6,2,8,0,0,right,174,Forward - Left Winger,3600000
19,17,3,29,7,5,3,0,0,right,174,Forward - Left Winger,3600000
18,16,2,10,9,0,1,0,0,right,174,Forward - Left Winger,3600000
17,15,1,16,3,0,3,0,0,right,174,Forward - Left Winger,3600000
23,20,4,6,0,1,0,0,0,right,188,Forward - Centre-Forward,1440000
20,17,3,32,2,3,3,0,0,right,188,Forward - Centre-Forward,197250
19,20,3,3,0,0,0,0,0,right,178,Defender - Right-Back,225000
17,18,2,25,1,0,5,0,0,right,178,Defender - Right-Back,225000
15,16,1,6,0,0,0,0,0,right,178,Defender - Right-Back,225000
35,19,7,20,0,1,3,1,0,right,182,Defender - Right-Back,1350000
34,18,6,23,1,1,5,0,0,right,182,Defender - Right-Back,1350000
27,11,5,38,2,3,6,0,0,right,182,Defender - Right-Back,8100000
24,8,4,39,1,4,7,0,0,right,182,Defender - Right-Back,4500000
21,5,3,43,2,2,6,0,0,right,182,Defender - Right-Back,1260000
17,1,2,1,0,0,0,0,0,right,182,Defender - Right-Back,1260000
24,20,7,1,0,0,0,0,0,right,188,Defender - Centre-Back,6300000
23,19,6,31,2,0,6,0,0,right,188,Defender - Centre-Back,6750000
19,15,5,18,0,1,6,2,0,right,188,Defender - Centre-Back,5850000
18,14,4,29,2,2,8,0,1,right,188,Defender - Centre-Back,3600000
17,13,3,9,1,0,3,0,0,right,188,Defender - Centre-Back,675000
16,12,2,13,1,1,4,0,0,right,188,Defender - Centre-Back,675000
18,20,3,9,0,0,1,0,0,both,187,Forward - Centre-Forward,360000
16,18,2,16,2,0,2,0,0,both,187,Forward - Centre-Forward,360000
14,16,1,13,2,0,0,0,0,both,187,Forward - Centre-Forward,360000
15,17,1,21,0,0,2,0,0,right,187,Defender - Right-Back,360000
20,20,4,1,0,0,0,0,0,left,181,Midfielder - Defensive Midfield,180000
19,19,3,7,0,0,2,0,0,left,181,Midfielder - Defensive Midfield,45000
17,17,2,23,1,0,0,0,0,left,181,Midfielder - Defensive Midfield,45000
15,15,1,28,0,0,5,0,0,left,181,Midfielder - Defensive Midfield,45000
27,18,8,28,2,1,8,0,0,right,186,Defender - Centre-Back,9000000
26,17,7,18,0,0,2,0,0,right,186,Defender - Centre-Back,10800000
25,16,6,28,0,2,4,0,0,right,186,Defender - Centre-Back,13500000
22,13,5,36,0,0,12,0,0,right,186,Defender - Centre-Back,6300000
20,11,4,39,1,1,11,0,0,right,186,Defender - Centre-Back,2700000
17,8,3,28,2,1,4,0,0,right,186,Defender - Centre-Back,45000
19,20,3,4,0,0,1,0,0,right,170,Midfielder - Defensive Midfield,45000
17,18,2,25,2,1,6,0,0,right,170,Midfielder - Defensive Midfield,45000
15,16,1,14,2,0,0,0,0,right,170,Midfielder - Defensive Midfield,45000
18,19,5,12,0,1,0,0,0,left,176,Forward - Left Winger,45000
17,18,4,3,0,0,0,0,0,left,176,Forward - Left Winger,45000
16,17,3,21,3,4,0,0,0,left,176,Forward - Left Winger,45000
26,15,8,18,2,3,3,0,0,right,171,Midfielder - Central Midfield,8550000
25,14,7,25,6,3,7,0,0,right,171,Midfielder - Central Midfield,2250000
22,11,6,43,4,14,5,0,0,right,171,Midfielder - Central Midfield,630000
21,10,5,58,4,15,14,1,1,right,171,Midfielder - Central Midfield,810000
20,9,4,9,2,1,0,0,0,right,171,Midfielder - Central Midfield,810000
19,7,3,2,0,0,0,0,0,right,171,Midfielder - Central Midfield,810000
18,7,2,2,0,0,0,0,0,right,171,Midfielder - Central Midfield,810000
22,16,4,20,0,1,3,0,1,right,185,Defender - Centre-Back,810000
19,13,3,5,0,0,1,0,0,right,185,Defender - Centre-Back,810000
18,12,2,2,0,0,0,0,0,right,185,Defender - Centre-Back,810000
24,19,6,21,0,1,3,0,0,left,179,Defender - Left-Back,2700000
20,15,5,29,1,3,2,0,0,left,179,Defender - Left-Back,1350000
18,13,4,30,3,6,1,0,0,left,179,Defender - Left-Back,1350000
17,12,3,23,0,1,0,0,0,left,179,Defender - Left-Back,1350000
21,20,4,8,0,0,0,0,0,right,192,Defender - Centre-Back,4050000
20,19,3,54,9,1,12,0,1,right,192,Defender - Centre-Back,315000
19,18,2,30,7,1,5,0,0,right,192,Defender - Centre-Back,315000
18,17,1,0,0,0,0,0,0,right,192,Defender - Centre-Back,315000
22,20,3,5,0,1,0,0,0,right,177,Midfielder - Central Midfield,22500000
19,17,2,10,2,2,1,0,0,right,177,Midfielder - Central Midfield,270000
17,15,1,1,0,0,0,0,0,right,177,Midfielder - Central Midfield,22500000
19,20,4,5,0,0,1,0,0,left,187,Defender - Centre-Back,22500000
17,18,3,15,0,0,2,0,0,left,187,Defender - Centre-Back,22500000
16,17,2,25,0,0,2,0,0,left,187,Defender - Centre-Back,22500000
17,20,3,8,2,3,0,0,0,right,175,Midfielder - Attacking Midfield,22500000
15,18,2,14,4,2,1,0,0,right,175,Midfielder - Attacking Midfield,22500000
19,15,6,45,0,2,4,0,0,right,195,Defender - Centre-Back,4050000
18,14,5,25,0,1,5,1,0,right,195,Defender - Centre-Back,5850000
17,13,4,31,0,2,2,1,0,right,195,Defender - Centre-Back,5850000
16,12,3,25,0,0,6,0,0,right,195,Defender - Centre-Back,5850000
15,11,2,28,4,0,1,0,0,right,195,Defender - Centre-Back,5850000
28,16,7,30,0,2,2,0,0,right,184,Midfielder - Defensive Midfield,5400000
23,11,6,30,0,5,3,0,0,right,184,Midfielder - Defensive Midfield,2030000
21,9,5,42,0,5,8,1,0,right,184,Midfielder - Defensive Midfield,315000
19,7,4,23,0,0,7,1,0,right,184,Midfielder - Defensive Midfield,315000
17,5,3,20,3,0,3,0,1,right,184,Midfielder - Defensive Midfield,315000
21,20,5,10,4,3,1,0,0,left,189,Midfielder - Attacking Midfield,72900000
17,16,4,40,6,7,4,0,0,left,189,Midfielder - Attacking Midfield,90000
15,14,3,23,7,2,4,0,0,left,189,Midfielder - Attacking Midfield,90000
24,14,10,46,13,14,7,0,0,right,184,Forward - Right Winger,2250000
23,13,9,29,3,5,7,0,0,right,184,Forward - Right Winger,2250000
21,11,8,14,2,0,0,0,0,right,184,Forward - Right Winger,900000
20,10,7,36,8,17,4,0,0,right,184,Forward - Right Winger,45000
19,9,6,23,10,1,0,0,0,right,184,Forward - Right Winger,45000
18,8,5,24,7,0,0,0,0,right,184,Forward - Right Winger,45000
17,7,4,10,2,0,0,0,0,right,184,Forward - Right Winger,45000
26,19,10,40,2,11,5,1,0,left,183,Midfielder - Central Midfield,28800000
23,16,9,29,6,10,5,0,0,left,183,Midfielder - Central Midfield,1170000
22,15,8,26,11,4,7,1,0,left,183,Midfielder - Central Midfield,967500
21,14,7,24,2,3,6,0,0,left,183,Midfielder - Central Midfield,315000
20,13,6,8,3,4,2,0,0,left,183,Midfielder - Central Midfield,315000
19,12,5,28,2,1,12,0,0,left,183,Midfielder - Central Midfield,315000
18,11,4,20,7,4,2,0,1,left,183,Midfielder - Central Midfield,315000
17,10,3,25,9,2,5,1,0,left,183,Midfielder - Central Midfield,315000
19,20,3,4,0,0,1,0,0,left,188,Defender - Centre-Back,315000
17,18,2,12,1,0,1,0,0,left,188,Defender - Centre-Back,315000
15,16,1,12,1,0,2,0,0,left,188,Defender - Centre-Back,315000
28,20,9,7,2,2,1,0,0,left,179,Forward - Centre-Forward,25200000
24,16,8,31,9,2,4,0,1,left,179,Forward - Centre-Forward,15300000
20,12,7,37,6,12,4,0,0,left,179,Forward - Centre-Forward,3150000
19,11,6,35,14,12,8,0,0,left,179,Forward - Centre-Forward,315000
18,10,5,34,12,5,6,0,0,left,179,Forward - Centre-Forward,315000
17,9,4,25,7,0,2,0,1,left,179,Forward - Centre-Forward,315000
15,7,3,3,1,0,0,0,0,left,179,Forward - Centre-Forward,315000
20,9,5,26,1,0,0,0,0,right,185,Defender - Right-Back,1530000
17,6,4,23,1,0,3,0,0,right,185,Defender - Right-Back,45000
20,17,4,102,36,18,9,0,0,left,178,Forward - Left Winger,11250000
18,15,3,126,21,33,15,0,0,left,178,Forward - Left Winger,11250000
25,17,3,35,13,7,5,0,1,right,185,Forward - Centre-Forward,10800000
23,15,2,23,10,5,2,0,0,right,185,Forward - Centre-Forward,45000
19,11,1,9,0,1,0,0,0,right,185,Forward - Centre-Forward,10800000
19,20,3,4,0,0,1,0,0,right,196,Midfielder - Defensive Midfield,180000
17,18,2,24,2,0,5,0,0,right,196,Midfielder - Defensive Midfield,180000
15,16,1,7,0,0,0,0,0,right,196,Midfielder - Defensive Midfield,180000
19,16,1,1,0,0,0,0,0,left,190,Defender,113000
24,18,7,41,2,4,5,0,0,right,177,Defender - Right-Back,10800000
21,15,6,33,2,8,7,0,0,right,177,Defender - Right-Back,1800000
19,13,5,23,3,7,1,0,0,right,177,Defender - Right-Back,1012500
18,12,4,25,2,3,3,0,0,right,177,Defender - Right-Back,900000
17,11,3,20,6,4,1,2,1,right,177,Defender - Right-Back,900000
15,9,2,21,3,2,2,0,0,right,177,Defender - Right-Back,900000
20,19,5,39,8,8,5,0,0,left,170,Forward - Left Winger,10800000
19,18,4,34,4,7,1,0,0,left,170,Forward - Left Winger,450000
19,17,3,10,2,5,1,0,0,left,170,Forward - Left Winger,450000
17,16,2,8,3,1,0,0,0,left,170,Forward - Left Winger,450000
23,19,6,42,1,6,4,0,1,right,180,Midfielder - Attacking Midfield,15300000
18,14,5,22,2,0,3,0,0,right,180,Midfielder - Attacking Midfield,15300000
17,13,4,23,5,3,6,0,1,right,180,Midfielder - Attacking Midfield,15300000
16,12,3,26,2,1,3,0,0,right,180,Midfielder - Attacking Midfield,15300000
31,19,26,437,190,74,53,0,6,right,183,Midfielder - Central Midfield,34200000
31,19,26,437,190,74,53,0,6,right,177,Forward - Left Winger,34200000
31,19,26,437,190,74,53,0,6,right,178,Forward - Left Winger,34200000
31,19,26,437,190,74,53,0,6,left,188,Forward - Centre-Forward,34200000
31,19,26,437,190,74,53,0,6,right,173,Midfielder - Left Midfield,34200000
22,19,15,437,190,74,53,0,6,right,183,Midfielder - Central Midfield,585000
22,19,15,437,190,74,53,0,6,right,177,Forward - Left Winger,585000
22,19,15,437,190,74,53,0,6,right,178,Forward - Left Winger,585000
22,19,15,437,190,74,53,0,6,left,188,Forward - Centre-Forward,585000
22,19,15,437,190,74,53,0,6,right,173,Midfielder - Left Midfield,585000
30,18,25,284,96,67,28,0,0,right,183,Midfielder - Central Midfield,36000000
30,18,25,284,96,67,28,0,0,right,177,Forward - Left Winger,36000000
30,18,25,284,96,67,28,0,0,right,178,Forward - Left Winger,36000000
30,18,25,284,96,67,28,0,0,left,188,Forward - Centre-Forward,36000000
30,18,25,284,96,67,28,0,0,right,173,Midfielder - Left Midfield,36000000
25,18,21,284,96,67,28,0,0,right,183,Midfielder - Central Midfield,630000
25,18,21,284,96,67,28,0,0,right,177,Forward - Left Winger,630000
25,18,21,284,96,67,28,0,0,right,178,Forward - Left Winger,630000
25,18,21,284,96,67,28,0,0,left,188,Forward - Centre-Forward,630000
25,18,21,284,96,67,28,0,0,right,173,Midfielder - Left Midfield,630000
21,18,12,284,96,67,28,0,0,right,183,Midfielder - Central Midfield,585000
21,18,12,284,96,67,28,0,0,right,177,Forward - Left Winger,585000
21,18,12,284,96,67,28,0,0,right,178,Forward - Left Winger,585000
21,18,12,284,96,67,28,0,0,left,188,Forward - Centre-Forward,585000
21,18,12,284,96,67,28,0,0,right,173,Midfielder - Left Midfield,585000
18,18,5,284,96,67,28,0,0,right,183,Midfielder - Central Midfield,22500000
18,18,5,284,96,67,28,0,0,right,177,Forward - Left Winger,22500000
18,18,5,284,96,67,28,0,0,right,178,Forward - Left Winger,22500000
18,18,5,284,96,67,28,0,0,left,188,Forward - Centre-Forward,22500000
18,18,5,284,96,67,28,0,0,right,173,Midfielder - Left Midfield,22500000
29,17,24,590,170,64,49,0,0,right,183,Midfielder - Central Midfield,13500000
29,17,24,590,170,64,49,0,0,right,177,Forward - Left Winger,13500000
29,17,24,590,170,64,49,0,0,right,178,Forward - Left Winger,13500000
29,17,24,590,170,64,49,0,0,left,188,Forward - Centre-Forward,13500000
29,17,24,590,170,64,49,0,0,right,173,Midfielder - Left Midfield,13500000
24,17,19,590,170,64,49,0,0,right,183,Midfielder - Central Midfield,630000
24,17,19,590,170,64,49,0,0,right,177,Forward - Left Winger,630000
24,17,19,590,170,64,49,0,0,right,178,Forward - Left Winger,630000
24,17,19,590,170,64,49,0,0,left,188,Forward - Centre-Forward,630000
24,17,19,590,170,64,49,0,0,right,173,Midfielder - Left Midfield,630000
20,17,9,590,170,64,49,0,0,right,183,Midfielder - Central Midfield,158000
20,17,9,590,170,64,49,0,0,right,177,Forward - Left Winger,158000
20,17,9,590,170,64,49,0,0,right,178,Forward - Left Winger,158000
20,17,9,590,170,64,49,0,0,left,188,Forward - Centre-Forward,158000
20,17,9,590,170,64,49,0,0,right,173,Midfielder - Left Midfield,158000
17,17,3,590,170,64,49,0,0,right,183,Midfielder - Central Midfield,158000
17,17,3,590,170,64,49,0,0,right,177,Forward - Left Winger,158000
17,17,3,590,170,64,49,0,0,right,178,Forward - Left Winger,158000
17,17,3,590,170,64,49,0,0,left,188,Forward - Centre-Forward,158000
17,17,3,590,170,64,49,0,0,right,173,Midfielder - Left Midfield,158000
27,15,23,225,44,25,29,2,0,right,183,Midfielder - Central Midfield,8100000
27,15,23,225,44,25,29,2,0,right,177,Forward - Left Winger,8100000
27,15,23,225,44,25,29,2,0,right,178,Forward - Left Winger,8100000
27,15,23,225,44,25,29,2,0,left,188,Forward - Centre-Forward,8100000
27,15,23,225,44,25,29,2,0,right,173,Midfielder - Left Midfield,8100000
22,15,17,225,44,25,29,2,0,right,183,Midfielder - Central Midfield,241666.6667
22,15,17,225,44,25,29,2,0,right,177,Forward - Left Winger,241666.6667
22,15,17,225,44,25,29,2,0,right,178,Forward - Left Winger,241666.6667
22,15,17,225,44,25,29,2,0,left,188,Forward - Centre-Forward,241666.6667
22,15,17,225,44,25,29,2,0,right,173,Midfielder - Left Midfield,241666.6667
23,15,1,225,44,25,29,2,0,right,183,Midfielder - Central Midfield,225000
23,15,1,225,44,25,29,2,0,right,177,Forward - Left Winger,225000
23,15,1,225,44,25,29,2,0,right,178,Forward - Left Winger,225000
23,15,1,225,44,25,29,2,0,left,188,Forward - Centre-Forward,225000
23,15,1,225,44,25,29,2,0,right,173,Midfielder - Left Midfield,225000
25,13,22,296,61,17,44,0,5,right,183,Midfielder - Central Midfield,10800000
25,13,22,296,61,17,44,0,5,right,177,Forward - Left Winger,10800000
25,13,22,296,61,17,44,0,5,right,178,Forward - Left Winger,10800000
25,13,22,296,61,17,44,0,5,left,188,Forward - Centre-Forward,10800000
25,13,22,296,61,17,44,0,5,right,173,Midfielder - Left Midfield,10800000
20,13,10,296,61,17,44,0,5,right,183,Midfielder - Central Midfield,233360
20,13,10,296,61,17,44,0,5,right,177,Forward - Left Winger,233360
20,13,10,296,61,17,44,0,5,right,178,Forward - Left Winger,233360
20,13,10,296,61,17,44,0,5,left,188,Forward - Centre-Forward,233360
20,13,10,296,61,17,44,0,5,right,173,Midfielder - Left Midfield,233360
24,12,20,271,72,50,63,0,0,right,183,Midfielder - Central Midfield,6750000
24,12,20,271,72,50,63,0,0,right,177,Forward - Left Winger,6750000
24,12,20,271,72,50,63,0,0,right,178,Forward - Left Winger,6750000
24,12,20,271,72,50,63,0,0,left,188,Forward - Centre-Forward,6750000
24,12,20,271,72,50,63,0,0,right,173,Midfielder - Left Midfield,6750000
19,12,7,271,72,50,63,0,0,right,183,Midfielder - Central Midfield,158000
19,12,7,271,72,50,63,0,0,right,177,Forward - Left Winger,158000
19,12,7,271,72,50,63,0,0,right,178,Forward - Left Winger,158000
19,12,7,271,72,50,63,0,0,left,188,Forward - Centre-Forward,158000
19,12,7,271,72,50,63,0,0,right,173,Midfielder - Left Midfield,158000
22,10,18,140,20,5,20,0,0,right,183,Midfielder - Central Midfield,360000
22,10,18,140,20,5,20,0,0,right,177,Forward - Left Winger,360000
22,10,18,140,20,5,20,0,0,right,178,Forward - Left Winger,360000
22,10,18,140,20,5,20,0,0,left,188,Forward - Centre-Forward,360000
22,10,18,140,20,5,20,0,0,right,173,Midfielder - Left Midfield,360000
22,14,16,219,15,25,22,0,0,right,183,Midfielder - Central Midfield,270000
22,14,16,219,15,25,22,0,0,right,177,Forward - Left Winger,270000
22,14,16,219,15,25,22,0,0,right,178,Forward - Left Winger,270000
22,14,16,219,15,25,22,0,0,left,188,Forward - Centre-Forward,270000
22,14,16,219,15,25,22,0,0,right,173,Midfielder - Left Midfield,270000
21,14,13,219,15,25,22,0,0,right,183,Midfielder - Central Midfield,270000
21,14,13,219,15,25,22,0,0,right,177,Forward - Left Winger,270000
21,14,13,219,15,25,22,0,0,right,178,Forward - Left Winger,270000
21,14,13,219,15,25,22,0,0,left,188,Forward - Centre-Forward,270000
21,14,13,219,15,25,22,0,0,right,173,Midfielder - Left Midfield,270000
21,9,14,140,30,0,30,5,0,right,183,Midfielder - Central Midfield,158000
21,9,14,140,30,0,30,5,0,right,177,Forward - Left Winger,158000
21,9,14,140,30,0,30,5,0,right,178,Forward - Left Winger,158000
21,9,14,140,30,0,30,5,0,left,188,Forward - Centre-Forward,158000
21,9,14,140,30,0,30,5,0,right,173,Midfielder - Left Midfield,158000
19,7,8,190,15,0,20,0,0,right,183,Midfielder - Central Midfield,158000
19,7,8,190,15,0,20,0,0,right,177,Forward - Left Winger,158000
19,7,8,190,15,0,20,0,0,right,178,Forward - Left Winger,158000
19,7,8,190,15,0,20,0,0,left,188,Forward - Centre-Forward,158000
19,7,8,190,15,0,20,0,0,right,173,Midfielder - Left Midfield,158000
18,6,6,85,10,0,0,0,0,right,183,Midfielder - Central Midfield,158000
18,6,6,85,10,0,0,0,0,right,177,Forward - Left Winger,158000
18,6,6,85,10,0,0,0,0,right,178,Forward - Left Winger,158000
18,6,6,85,10,0,0,0,0,left,188,Forward - Centre-Forward,158000
18,6,6,85,10,0,0,0,0,right,173,Midfielder - Left Midfield,158000
18,11,4,182,40,20,45,0,0,right,183,Midfielder - Central Midfield,158000
18,11,4,182,40,20,45,0,0,right,177,Forward - Left Winger,158000
18,11,4,182,40,20,45,0,0,right,178,Forward - Left Winger,158000
18,11,4,182,40,20,45,0,0,left,188,Forward - Centre-Forward,158000
18,11,4,182,40,20,45,0,0,right,173,Midfielder - Left Midfield,158000
23,16,2,407,102,35,43,0,0,right,183,Midfielder - Central Midfield,225000
23,16,2,407,102,35,43,0,0,right,177,Forward - Left Winger,225000
23,16,2,407,102,35,43,0,0,right,178,Forward - Left Winger,225000
23,16,2,407,102,35,43,0,0,left,188,Forward - Centre-Forward,225000
23,16,2,407,102,35,43,0,0,right,173,Midfielder - Left Midfield,225000
17,19,2,27,4,3,7,1,0,left,183,Defender - Left-Back,158000
15,17,1,6,0,0,0,0,0,left,183,Defender - Left-Back,158000
28,17,6,34,2,0,0,0,0,right,186,Defender - Centre-Back,6300000
20,9,5,22,0,1,3,0,0,right,186,Defender - Centre-Back,1080000
17,6,4,28,2,1,4,0,0,right,186,Defender - Centre-Back,45000
21,14,3,86,2,6,22,2,0,left,176,Defender - Left-Back,2700000
20,13,2,18,0,0,2,0,0,left,176,Defender - Left-Back,2700000
